Date,Close,High,Low,Open,Volume
2019-05-03,7865.0,7865.0,7865.0,7865.0,91921
2019-05-06,7803.5,7865.0,7668.75,7865.0,91921
2019-05-07,7674.0,7804.0,7581.5,7745.25,159356
2019-05-08,7647.5,7697.75,7600.75,7668.5,174381
2019-05-09,7595.25,7644.25,7481.25,7640.0,181633
2019-05-10,7610.25,7653.5,7435.5,7592.0,165887
2019-05-13,7314.75,7601.0,7304.75,7601.0,150689
2019-05-14,7421.0,7459.5,7286.0,7315.25,88949
2019-05-15,7529.25,7538.5,7353.75,7427.0,104030
2019-05-16,7600.25,7641.25,7473.25,7517.0,123439
2019-05-17,7511.5,7619.75,7506.5,7598.0,177353
2019-05-20,7391.75,7559.5,7361.5,7512.75,204873
2019-05-21,7464.0,7485.25,7400.75,7406.0,149067
2019-05-22,7430.0,7474.75,7391.0,7459.25,120572
2019-05-23,7311.0,7434.5,7268.25,7427.75,233141
2019-05-24,7315.5,7379.5,7296.75,7316.75,137333
2019-05-28,7295.25,7371.5,7280.75,7314.75,171179
2019-05-29,7216.0,7296.0,7183.25,7290.75,208278
2019-05-30,7255.25,7271.25,7208.75,7211.75,149510
2019-05-31,7133.5,7256.0,7129.5,7253.5,201659
2019-06-03,6993.75,7132.5,6940.5,7114.75,269577
2019-06-04,7179.25,7187.25,6981.5,7008.25,204238
2019-06-05,7228.5,7245.25,7150.0,7188.25,195056
2019-06-06,7282.25,7299.5,7180.75,7220.5,153720
2019-06-07,7419.5,7452.5,7258.0,7265.5,168532
2019-06-10,7515.5,7578.25,7431.5,7461.25,160173
2019-06-11,7518.25,7601.0,7492.5,7516.0,145223
2019-06-12,7473.25,7531.0,7461.0,7519.0,109633
2019-06-13,7522.75,7536.0,7421.5,7477.0,114951
2019-06-14,7478.25,7521.0,7451.75,7509.75,59373
2019-06-17,7534.25,7550.75,7480.75,7483.75,17664
2019-06-18,7645.25,7693.0,7515.5,7537.5,20376
2019-06-19,7674.25,7686.25,7600.25,7643.0,9938
2019-06-20,7745.25,7792.75,7665.5,7669.5,8433
2019-06-21,7723.60986328125,7743.0,7702.75,7731.75,187707
2019-06-24,7758.75,7794.0,7716.75,7744.0,101019
2019-06-25,7628.75,7779.75,7609.5,7754.75,184586
2019-06-26,7650.0,7719.0,7616.0,7635.5,158386
2019-06-27,7690.5,7716.75,7642.0,7642.0,121969
2019-06-28,7693.75,7726.0,7664.25,7686.5,128473
2019-07-01,7790.0,7850.25,7750.25,7750.25,170785
2019-07-02,7838.25,7843.25,7762.75,7794.5,135661
2019-07-03,7887.5,7893.0,7824.75,7842.5,88853
2019-07-05,7851.5,7909.25,7797.0,7888.5,176026
2019-07-08,7801.0,7864.25,7777.75,7855.0,126114
2019-07-09,7845.25,7858.75,7743.25,7802.0,176786
2019-07-10,7928.75,7949.5,7811.5,7847.5,240034
2019-07-11,7918.75,7963.25,7894.25,7924.75,242410
2019-07-12,7960.0,7967.75,7912.0,7915.75,167822
2019-07-15,7986.75,7992.0,7941.25,7956.25,156861
2019-07-16,7942.75,8001.5,7924.0,7983.25,190916
2019-07-17,7885.5,7966.5,7868.25,7937.5,189309
2019-07-18,7933.5,7954.75,7833.0,7868.0,260130
2019-07-19,7842.75,7980.5,7815.0,7950.0,271517
2019-07-22,7924.75,7936.25,7825.5,7826.75,220798
2019-07-23,7983.75,7985.75,7908.25,7928.0,234497
2019-07-24,8038.0,8051.75,7925.75,7945.0,200968
2019-07-25,7981.75,8034.25,7917.25,8003.75,293063
2019-07-26,8019.75,8040.5,7987.75,7991.0,185702
2019-07-29,8001.25,8031.75,7951.5,8015.5,141883
2019-07-30,7963.25,8019.75,7928.25,8002.25,180821
2019-07-31,7866.75,8001.75,7782.0,7990.75,309747
2019-08-01,7808.25,8014.5,7777.0,7835.0,427662
2019-08-02,7702.25,7805.5,7650.0,7796.25,335463
2019-08-05,7385.25,7706.0,7359.75,7706.0,380437
2019-08-06,7515.5,7548.75,7225.0,7352.0,394039
2019-08-07,7553.25,7577.25,7387.75,7514.5,441870
2019-08-08,7735.75,7738.5,7526.25,7550.25,306070
2019-08-09,7660.25,7724.0,7596.75,7714.0,336370
2019-08-12,7566.75,7709.75,7534.75,7654.0,290029
2019-08-13,7748.0,7789.25,7513.75,7569.25,314303
2019-08-14,7488.75,7767.5,7477.25,7749.5,448720
2019-08-15,7496.25,7573.25,7388.5,7477.25,474072
2019-08-16,7611.75,7632.25,7502.25,7511.25,281103
2019-08-19,7727.5,7750.25,7613.0,7615.0,171823
2019-08-20,7668.0,7752.5,7655.5,7720.0,201907
2019-08-21,7750.25,7765.75,7651.5,7657.5,146409
2019-08-22,7711.25,7782.25,7653.75,7757.0,214428
2019-08-23,7504.5,7762.0,7448.0,7704.25,357710
2019-08-26,7590.5,7626.0,7311.75,7454.0,237456
2019-08-27,7562.75,7648.75,7536.75,7590.5,252969
2019-08-28,7599.25,7605.75,7503.75,7568.5,219514
2019-08-29,7712.0,7730.25,7548.5,7583.25,178115
2019-08-30,7690.75,7770.25,7646.0,7705.75,186863
2019-09-03,7617.5,7695.75,7581.5,7644.0,288620
2019-09-04,7722.75,7729.75,7608.25,7617.5,183844
2019-09-05,7855.5,7886.5,7717.75,7720.25,194788
2019-09-06,7857.75,7895.5,7838.5,7853.25,151663
2019-09-09,7830.75,7887.25,7798.5,7858.25,138383
2019-09-10,7815.0,7857.75,7744.25,7833.0,193189
2019-09-11,7889.75,7899.75,7786.5,7818.25,152493
2019-09-12,7921.5,7982.0,7886.75,7892.0,183512
2019-09-13,7886.0,7958.25,7881.25,7915.75,43357
2019-09-16,7856.5,7873.25,7776.5,7864.25,24778
2019-09-17,7890.25,7896.5,7828.0,7863.5,16453
2019-09-18,7894.25,7905.75,7789.5,7892.75,13146
2019-09-19,7896.25,7950.75,7831.25,7900.0,7155
2019-09-20,7899.47998046875,7937.5,7890.0,7900.5,171441
2019-09-23,7850.5,7897.0,7807.75,7834.5,150436
2019-09-24,7735.25,7904.25,7701.75,7866.5,249773
2019-09-25,7820.25,7844.25,7663.75,7735.25,229505
2019-09-26,7787.25,7842.5,7735.0,7822.0,212869
2019-09-27,7701.25,7822.0,7640.75,7787.0,259467
2019-09-30,7770.5,7788.75,7705.5,7727.75,205146
2019-10-01,7695.5,7841.5,7691.0,7781.0,271074
2019-10-02,7546.25,7730.5,7525.5,7710.75,340691
2019-10-03,7658.5,7660.0,7474.75,7559.5,321156
2019-10-04,7767.25,7773.75,7616.25,7659.5,230569
2019-10-07,7740.0,7799.75,7698.75,7733.25,202812
2019-10-08,7622.0,7784.5,7613.25,7740.0,256301
2019-10-09,7699.75,7731.75,7605.0,7622.5,185053
2019-10-10,7760.25,7798.25,7583.0,7702.0,210453
2019-10-11,7859.0,7918.25,7767.0,7783.25,234411
2019-10-14,7857.5,7894.5,7807.0,7853.5,146651
2019-10-15,7959.75,7971.75,7858.75,7858.75,164287
2019-10-16,7948.5,7961.25,7907.75,7961.25,169205
2019-10-17,7952.75,7994.75,7922.75,7954.0,164252
2019-10-18,7880.75,7958.25,7835.5,7951.25,191999
2019-10-21,7948.25,7951.25,7865.0,7875.75,158512
2019-10-22,7858.75,7988.5,7837.5,7948.25,192669
2019-10-23,7901.5,7918.0,7810.5,7850.0,202974
2019-10-24,7928.25,7985.0,7912.75,7920.0,190437
